repo,comparison,metric,group_a,group_b,n_a,n_b,median_a,q1_a,q3_a,median_b,q1_b,q3_b,median_diff_a_minus_b,u_stat,p_value,rank_biserial,bonferroni_p
vercel/next.js,pre2022_vs_post2022,added_lines,post2022_all,pre2022_all,250,494,58.5,14.0,202.5,8.0,2.0,53.75,50.5,87284.5,0.0,0.4135,0.0
vercel/next.js,pre2022_vs_post2022,deleted_lines,post2022_all,pre2022_all,250,494,14.0,2.0,47.0,2.0,1.0,11.0,12.0,83573.5,0.0,0.3534,0.0
vercel/next.js,pre2022_vs_post2022,changed_files,post2022_all,pre2022_all,250,494,2.0,1.0,7.0,2.0,1.0,5.0,0.0,70856.5,0.000579,0.1475,0.00579
vercel/next.js,pre2022_vs_post2022,commit_count,post2022_all,pre2022_all,250,494,1.0,1.0,2.0,1.0,1.0,3.0,0.0,56708.5,0.044342,-0.0816,0.44342
vercel/next.js,pre2022_vs_post2022,analyzable_added_lines,post2022_all,pre2022_all,250,494,48.0,13.25,181.0,8.0,2.0,50.75,40.0,85748.0,0.0,0.3886,0.0
vercel/next.js,pre2022_vs_post2022,todo_fixme_count,post2022_all,pre2022_all,250,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67527.5,0.0,0.0936,0.0
vercel/next.js,pre2022_vs_post2022,complexity_proxy,post2022_all,pre2022_all,196,232,6.75,2.89,11.07,3.53,0.72,7.14,3.21,28843.0,2e-06,0.2686,2e-05
vercel/next.js,pre2022_vs_post2022,security_kw_in_review,post2022_all,pre2022_all,250,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63088.5,0.199535,0.0217,1.0
vercel/next.js,pre2022_vs_post2022,review_duration_hours,post2022_all,pre2022_all,250,494,5.59,1.07,27.92,11.8,1.55,760.52,-6.21,46600.0,0.0,-0.2453,0.0
vercel/next.js,pre2022_vs_post2022,reviewer_count,post2022_all,pre2022_all,250,494,0.5,0.0,1.0,1.0,0.0,1.0,-0.5,47507.5,0.0,-0.2306,0.0
